epoch,precision,recall,f1,roc_auc,macro_roc_auc
31,0.7404296402515561,0.7344497607655502,0.7340838976689831,"{0: 0.971124387254902, 1: 0.9515867875647669, 2: 0.9838892487046632, 3: 0.970369170984456, 4: 0.9766534391534392, 5: 0.9863573407202216, 6: 0.9750692520775623, 7: 0.9662594531704479, 8: 0.96875, 9: 0.9879748774509804, 10: 0.9888174019607843, 11: 0.9734987745098038}",0.9755243957781812
32,0.736619440580718,0.7248803827751196,0.7225591620219429,"{0: 0.965609681372549, 1: 0.9507772020725389, 2: 0.9681023316062176, 3: 0.9546632124352332, 4: 0.9743386243386243, 5: 0.9876038781163434, 6: 0.9878808864265928, 7: 0.9852385107620709, 8: 0.9800091911764706, 9: 0.992876838235294, 10: 0.9838388480392157, 11: 0.9761795343137254}",0.9762610269393753
33,0.7442992909536725,0.7416267942583732,0.7404390794892063,"{0: 0.9845281862745098, 1: 0.9521534974093264, 2: 0.9666450777202071, 3: 0.9612208549222798, 4: 0.9773148148148149, 5: 0.9812326869806094, 6: 0.9790858725761773, 7: 0.986111111111111, 8: 0.9878982843137255, 9: 0.9850643382352942, 10: 0.9816942401960784, 11: 0.9738817401960784}",0.9768872480676376
34,0.7287957616122382,0.7177033492822966,0.7193459386051924,"{0: 0.9707414215686274, 1: 0.9589540155440415, 2: 0.9668069948186528, 3: 0.9616256476683938, 4: 0.970568783068783, 5: 0.9852493074792243, 6: 0.9810941828254848, 7: 0.970913321698662, 8: 0.9770986519607843, 9: 0.9871323529411764, 10: 0.9839920343137254, 11: 0.9698988970588236}",0.9741980952443159
35,0.7771231276285078,0.7679425837320574,0.7686005078658531,"{0: 0.9790134803921569, 1: 0.9719883419689119, 2: 0.976360103626943, 3: 0.962354274611399, 4: 0.9697089947089947, 5: 0.9787396121883656, 6: 0.9877423822714682, 7: 0.9843659104130309, 8: 0.9862898284313726, 9: 0.9911151960784313, 10: 0.9865196078431373, 11: 0.9833026960784315}",0.9803484180927067
36,0.7358594996305756,0.7200956937799043,0.7197552231277157,"{0: 0.9758731617647058, 1: 0.9644591968911916, 2: 0.9805699481865285, 3: 0.971583549222798, 4: 0.9735449735449735, 5: 0.9905124653739611, 6: 0.9869806094182825, 7: 0.9784758580570099, 8: 0.9800091911764706, 9: 0.9880514705882353, 10: 0.9772518382352942, 11: 0.9740349264705882}",0.9788913667318665
37,0.7686382239409326,0.7559808612440191,0.7585434750935863,"{0: 0.9692861519607843, 1: 0.9484294041450777, 2: 0.9574158031088082, 3: 0.9557966321243523, 4: 0.9797619047619047, 5: 0.9942520775623269, 6: 0.9862880886426593, 7: 0.9824025596276905, 8: 0.9881280637254902, 9: 0.9895833333333333, 10: 0.9824601715686274, 11: 0.9643075980392156}",0.9757220779543937
38,0.7484151731144096,0.7416267942583732,0.7395961321420403,"{0: 0.9809283088235294, 1: 0.9684261658031088, 2: 0.9747409326424871, 3: 0.969964378238342, 4: 0.9771825396825398, 5: 0.9863573407202215, 6: 0.9807479224376732, 7: 0.9804392088423501, 8: 0.9810814950980391, 9: 0.9898131127450981, 10: 0.9793964460784313, 11: 0.9844515931372548}",0.9799740620008395
39,0.7698475281862325,0.7631578947368421,0.76345411127886,"{0: 0.9822303921568627, 1: 0.9724740932642487, 2: 0.9727979274611399, 3: 0.9749838082901554, 4: 0.9772486772486773, 5: 0.9929362880886426, 6: 0.9917590027700831, 7: 0.9849476439790577, 8: 0.9844515931372548, 9: 0.9865196078431372, 10: 0.9790900735294117, 11: 0.9756433823529411}",0.9817253194044172
40,0.810519811302705,0.8014354066985646,0.8021918241343389,"{0: 0.978094362745098, 1: 0.9608970207253886, 2: 0.9817033678756476, 3: 0.9849417098445595, 4: 0.9921296296296296, 5: 0.9915512465373961, 6: 0.9913434903047091, 7: 0.9920011634671321, 8: 0.9911151960784315, 9: 0.984375, 10: 0.9863664215686274, 11: 0.9725030637254901}",0.9844502203231846
